run,nf1,k1,p1,nf2,k2,p2,f1_score,val_loss,val_accuracy,bn1,dropout1,bn2,dropout2,bn3
107,24,"(8, 8)","(2, 2)",12,"(2, 2)","(4, 4)",0.99451,0.02816,0.98784,1,0.086,0,0.112,0
108,24,"(8, 8)","(2, 2)",12,"(5, 5)","(4, 4)",0.99359,0.05686,0.97871,0,0.467,1,0.358,1
109,24,"(8, 8)","(2, 2)",12,"(8, 8)","(4, 4)",0.97433,0.18868,0.92803,1,0.231,0,0.467,0
110,32,"(2, 2)","(2, 2)",16,"(2, 2)","(4, 4)",0.98172,0.07507,0.97516,0,0.138,0,0.49,1
111,32,"(2, 2)","(2, 2)",16,"(5, 5)","(4, 4)",0.98076,0.40259,0.85859,1,0.215,0,0.086,1
112,32,"(2, 2)","(2, 2)",16,"(8, 8)","(4, 4)",0.99451,0.03909,0.98733,1,0.003,0,0.07,0
113,32,"(5, 5)","(2, 2)",16,"(2, 2)","(4, 4)",0.98993,0.07128,0.97567,0,0.359,1,0.086,0
114,32,"(5, 5)","(2, 2)",16,"(5, 5)","(4, 4)",0.97984,0.09316,0.96047,0,0.186,1,0.195,1
115,32,"(5, 5)","(2, 2)",16,"(8, 8)","(4, 4)",0.98809,0.39406,0.86214,1,0.283,0,0.097,1
116,32,"(8, 8)","(2, 2)",16,"(2, 2)","(4, 4)",0.99084,0.04426,0.98327,0,0.189,1,0.081,0
117,32,"(8, 8)","(2, 2)",16,"(5, 5)","(4, 4)",0.98718,0.04225,0.98429,0,0.371,1,0.463,0
118,32,"(8, 8)","(2, 2)",16,"(8, 8)","(4, 4)",0.98993,0.03835,0.98784,1,0.287,1,0.336,0
119,48,"(2, 2)","(2, 2)",24,"(2, 2)","(4, 4)",0.98625,0.06619,0.97821,1,0.197,0,0.095,0
120,48,"(2, 2)","(2, 2)",24,"(5, 5)","(4, 4)",0.9881,0.05909,0.9777,1,0.302,1,0.182,1
121,48,"(2, 2)","(2, 2)",24,"(8, 8)","(4, 4)",0.97435,0.18364,0.91941,0,0.424,1,0.211,0
122,48,"(5, 5)","(2, 2)",24,"(2, 2)","(4, 4)",0.99267,0.04253,0.98936,0,0.227,1,0.183,1
123,48,"(5, 5)","(2, 2)",24,"(5, 5)","(4, 4)",0.99267,0.59083,0.83426,1,0.377,1,0.173,1
124,48,"(5, 5)","(2, 2)",24,"(8, 8)","(4, 4)",0.9512,0.9385,0.8444,1,0.21,0,0.419,0
125,48,"(8, 8)","(2, 2)",24,"(2, 2)","(4, 4)",0.99268,0.07851,0.97669,0,0.467,0,0.418,0
126,48,"(8, 8)","(2, 2)",24,"(5, 5)","(4, 4)",0.99725,0.01708,0.9924,1,0.341,1,0.187,0
127,48,"(8, 8)","(2, 2)",24,"(8, 8)","(4, 4)",0.99725,0.10427,0.95996,1,0.469,1,0.203,1
128,64,"(2, 2)","(2, 2)",32,"(2, 2)","(4, 4)",0.97255,0.2721,0.88495,0,0.46,1,0.221,0
129,64,"(2, 2)","(2, 2)",32,"(5, 5)","(4, 4)",0.98718,0.04327,0.9853,0,0.442,0,0.394,1
130,64,"(2, 2)","(2, 2)",32,"(8, 8)","(4, 4)",0.99451,0.03326,0.99138,1,0.324,1,0.127,0
131,64,"(5, 5)","(2, 2)",32,"(2, 2)","(4, 4)",0.97438,3.07341,0.34921,1,0.479,1,0.033,1
132,64,"(5, 5)","(2, 2)",32,"(5, 5)","(4, 4)",0.95121,0.46354,0.8515,1,0.005,1,0.018,1
133,64,"(5, 5)","(2, 2)",32,"(8, 8)","(4, 4)",0.95365,0.22175,0.90674,1,0.418,0,0.483,0
134,64,"(8, 8)","(2, 2)",32,"(2, 2)","(4, 4)",0.99634,0.02454,0.99341,0,0.436,0,0.174,0
135,64,"(8, 8)","(2, 2)",32,"(5, 5)","(4, 4)",0.98901,0.08387,0.97111,0,0.407,1,0.159,0
136,64,"(8, 8)","(2, 2)",32,"(8, 8)","(4, 4)",0.99725,0.05429,0.97871,0,0.124,0,0.129,0
137,16,"(2, 2)","(2, 2)",8,"(2, 2)","(5, 5)",0.95969,0.09751,0.96908,1,0.044,0,0.456,1
138,16,"(2, 2)","(2, 2)",8,"(5, 5)","(5, 5)",0.98265,0.10623,0.96351,0,0.157,0,0.231,1
139,16,"(2, 2)","(2, 2)",8,"(8, 8)","(5, 5)",0.98262,0.08565,0.97212,0,0.139,1,0.074,0
140,16,"(5, 5)","(2, 2)",8,"(2, 2)","(5, 5)",0.98352,0.07296,0.97111,0,0.09,0,0.322,1
141,16,"(5, 5)","(2, 2)",8,"(5, 5)","(5, 5)",0.97985,0.09064,0.96807,1,0.072,0,0.061,0
142,16,"(5, 5)","(2, 2)",8,"(8, 8)","(5, 5)",0.95235,0.16133,0.93969,1,0.17,0,0.023,0
143,16,"(8, 8)","(2, 2)",8,"(2, 2)","(5, 5)",0.98177,0.22666,0.90775,1,0.212,0,0.275,1
144,16,"(8, 8)","(2, 2)",8,"(5, 5)","(5, 5)",0.98901,0.56254,0.79067,1,0.358,0,0.026,0
145,16,"(8, 8)","(2, 2)",8,"(8, 8)","(5, 5)",0.99634,0.04683,0.98986,0,0.421,0,0.487,0
146,24,"(2, 2)","(2, 2)",12,"(2, 2)","(5, 5)",0.891,0.37095,0.85403,0,0.117,1,0.431,1
147,24,"(2, 2)","(2, 2)",12,"(5, 5)","(5, 5)",0.97707,0.0731,0.97466,0,0.133,1,0.074,0
148,24,"(2, 2)","(2, 2)",12,"(8, 8)","(5, 5)",0.99267,0.96118,0.75773,1,0.131,1,0.281,0
149,24,"(5, 5)","(2, 2)",12,"(2, 2)","(5, 5)",0.98717,0.05818,0.97821,1,0.199,0,0.047,0
150,24,"(5, 5)","(2, 2)",12,"(5, 5)","(5, 5)",0.99359,0.08885,0.97618,0,0.133,1,0.414,0
151,24,"(5, 5)","(2, 2)",12,"(8, 8)","(5, 5)",0.99267,0.0522,0.98125,0,0.346,1,0.012,1
152,24,"(8, 8)","(2, 2)",12,"(2, 2)","(5, 5)",0.9826,0.12637,0.95641,0,0.4,1,0.27,1
153,24,"(8, 8)","(2, 2)",12,"(5, 5)","(5, 5)",0.94567,1.03861,0.67613,1,0.31,1,0.427,1
154,24,"(8, 8)","(2, 2)",12,"(8, 8)","(5, 5)",0.99542,1.35278,0.72631,1,0.152,0,0.386,0
155,32,"(2, 2)","(2, 2)",16,"(2, 2)","(5, 5)",0.97455,0.11086,0.963,1,0.0,1,0.331,0
156,32,"(2, 2)","(2, 2)",16,"(5, 5)","(5, 5)",0.97618,0.05015,0.98733,0,0.342,1,0.081,0
157,32,"(2, 2)","(2, 2)",16,"(8, 8)","(5, 5)",0.94952,0.20681,0.93259,1,0.361,0,0.28,1
158,32,"(5, 5)","(2, 2)",16,"(2, 2)","(5, 5)",0.96595,0.34488,0.89255,1,0.29,1,0.223,1
159,32,"(5, 5)","(2, 2)",16,"(5, 5)","(5, 5)",0.98078,0.11694,0.95895,1,0.113,1,0.181,0
160,32,"(5, 5)","(2, 2)",16,"(8, 8)","(5, 5)",0.98168,1.01811,0.57679,1,0.122,1,0.044,1
